name,overallRating,numberReviews,streetAddress,city,stateRegion,postalCode,fullAddress,phone,website,reviewerID,reviewRating,reviewText,reviewDate,reviewDateParsed,website_norm,name_norm,fullAddress_norm,phone_norm,location_slug,is_lamadeleine,matched_storeID,match_method,match_confidence,matched_locationName,matched_postalCode,matched_streetAddress,matched_streetAddress2,matched_fullAddress,matched_city,matched_state
la Madeleine,4.1,1896,6430 N MacArthur Blvd,Irving,TX,75039,"6430 N MacArthur Blvd, Irving, TX 75039",(469) 385-1700,https://lamadeleine.com/locations/irving-macarthur,1.09929E+20,5.0,,2025-02-17T18:37:40.610Z,2025-02-17 18:37:40.610000+00:00,https://lamadeleine.com/locations/irving-macarthur,la Madeleine,6430nmacarthurblvdirvingtx75039,4693851700,irving-macarthur,True,114,website_slug,1.0,MacArthur,75039,6430 North MacArthur Boulevard,,"6430 North MacArthur Boulevard, Irving, TX 75039",Irving,TX
la Madeleine,4.1,1896,6430 N MacArthur Blvd,Irving,TX,75039,"6430 N MacArthur Blvd, Irving, TX 75039",(469) 385-1700,https://lamadeleine.com/locations/irving-macarthur,1.04738E+20,5.0,,2025-02-17T18:37:40.666Z,2025-02-17 18:37:40.666000+00:00,https://lamadeleine.com/locations/irving-macarthur,la Madeleine,6430nmacarthurblvdirvingtx75039,4693851700,irving-macarthur,True,114,website_slug,1.0,MacArthur,75039,6430 North MacArthur Boulevard,,"6430 North MacArthur Boulevard, Irving, TX 75039",Irving,TX
la Madeleine,4.1,1896,6430 N MacArthur Blvd,Irving,TX,75039,"6430 N MacArthur Blvd, Irving, TX 75039",(469) 385-1700,https://lamadeleine.com/locations/irving-macarthur,1.18192E+20,5.0,Love the place for a brunch with family or friends. They have a wide delicious variety of food.,2025-02-17T18:37:40.750Z,2025-02-17 18:37:40.750000+00:00,https://lamadeleine.com/locations/irving-macarthur,la Madeleine,6430nmacarthurblvdirvingtx75039,4693851700,irving-macarthur,True,114,website_slug,1.0,MacArthur,75039,6430 North MacArthur Boulevard,,"6430 North MacArthur Boulevard, Irving, TX 75039",Irving,TX
la Madeleine,4.1,1896,6430 N MacArthur Blvd,Irving,TX,75039,"6430 N MacArthur Blvd, Irving, TX 75039",(469) 385-1700,https://lamadeleine.com/locations/irving-macarthur,1.11632E+20,1.0,"If I could give 0 stars I would. This place is DISGUSTING in both service and food. I’m eating and find a dead fly in my salad. I go tell them and they say we’ll make you another salad. I say “NO, I don’t want to eat another thing from here. Please refund my money” With a nasty attitude the manger refunds me. Nobody that was with me wanted to even finish their food because we all go Caesar salad. It’s sad that I was given attitude when y’all had the dead fly in my food. The soup was also cold and not great at all.",2025-02-17T18:37:40.788Z,2025-02-17 18:37:40.788000+00:00,https://lamadeleine.com/locations/irving-macarthur,la Madeleine,6430nmacarthurblvdirvingtx75039,4693851700,irving-macarthur,True,114,website_slug,1.0,MacArthur,75039,6430 North MacArthur Boulevard,,"6430 North MacArthur Boulevard, Irving, TX 75039",Irving,TX
la Madeleine,4.1,1896,6430 N MacArthur Blvd,Irving,TX,75039,"6430 N MacArthur Blvd, Irving, TX 75039",(469) 385-1700,https://lamadeleine.com/locations/irving-macarthur,1.12253E+20,5.0,,2025-02-17T18:37:40.856Z,2025-02-17 18:37:40.856000+00:00,https://lamadeleine.com/locations/irving-macarthur,la Madeleine,6430nmacarthurblvdirvingtx75039,4693851700,irving-macarthur,True,114,website_slug,1.0,MacArthur,75039,6430 North MacArthur Boulevard,,"6430 North MacArthur Boulevard, Irving, TX 75039",Irving,TX
la Madeleine,4.1,1896,6430 N MacArthur Blvd,Irving,TX,75039,"6430 N MacArthur Blvd, Irving, TX 75039",(469) 385-1700,https://lamadeleine.com/locations/irving-macarthur,1.11203E+20,5.0,"When I arrived, I noticed that there was a comfortability element about this establishment. I spoke with the cashier and I placed my order. I asked about cheese being added to items. If that was possible , I would like the cheese left off due to dietary restrictions. I asked to speak with the manager. The cashier had no qualms about my request. The general managers name is Kim. I wanted to let her know that I was so happy to see that all of the employees were wearing gloves. Recently, I went to the location on Northwest Highway & Midway around Christmas. There was a gentleman in the front, on two separate occasions, was not wearing gloves. He was cutting bacon without gloves and making sandwiches without any gloves. I appreciate the appreciate the fact that Mrs. Kim holds being sanitary in the highest regard. I definitely will be coming back here because the atmosphere was pleasant as well as the staff .",2025-02-17T18:37:40.897Z,2025-02-17 18:37:40.897000+00:00,https://lamadeleine.com/locations/irving-macarthur,la Madeleine,6430nmacarthurblvdirvingtx75039,4693851700,irving-macarthur,True,114,website_slug,1.0,MacArthur,75039,6430 North MacArthur Boulevard,,"6430 North MacArthur Boulevard, Irving, TX 75039",Irving,TX
la Madeleine,4.1,1896,6430 N MacArthur Blvd,Irving,TX,75039,"6430 N MacArthur Blvd, Irving, TX 75039",(469) 385-1700,https://lamadeleine.com/locations/irving-macarthur,1.09049E+20,5.0,"Decent service, food, coffee, and prices.",2025-02-17T18:37:40.962Z,2025-02-17 18:37:40.962000+00:00,https://lamadeleine.com/locations/irving-macarthur,la Madeleine,6430nmacarthurblvdirvingtx75039,4693851700,irving-macarthur,True,114,website_slug,1.0,MacArthur,75039,6430 North MacArthur Boulevard,,"6430 North MacArthur Boulevard, Irving, TX 75039",Irving,TX
la Madeleine,4.1,1896,6430 N MacArthur Blvd,Irving,TX,75039,"6430 N MacArthur Blvd, Irving, TX 75039",(469) 385-1700,https://lamadeleine.com/locations/irving-macarthur,1.1192E+20,3.0,Disappointed to eat American breakfast at a cafe with French name.,2025-02-17T18:37:41.001Z,2025-02-17 18:37:41.001000+00:00,https://lamadeleine.com/locations/irving-macarthur,la Madeleine,6430nmacarthurblvdirvingtx75039,4693851700,irving-macarthur,True,114,website_slug,1.0,MacArthur,75039,6430 North MacArthur Boulevard,,"6430 North MacArthur Boulevard, Irving, TX 75039",Irving,TX
la Madeleine,4.1,1896,6430 N MacArthur Blvd,Irving,TX,75039,"6430 N MacArthur Blvd, Irving, TX 75039",(469) 385-1700,https://lamadeleine.com/locations/irving-macarthur,1.08878E+20,5.0,"The ambience at this location is up-lifting. The fireplace/furnace is classic —a warm sensation to experience as you enjoy French countryside meals. The team members are always friendly as they enthusiastically greet “Bonjour!” When you walk in. A welcoming atmosphere for all. During my visits, Monty is always friendly and offers pairing to complement my meal experience. A MUST stop-by when visiting the area! - Addy",2025-02-17T18:37:41.078Z,2025-02-17 18:37:41.078000+00:00,https://lamadeleine.com/locations/irving-macarthur,la Madeleine,6430nmacarthurblvdirvingtx75039,4693851700,irving-macarthur,True,114,website_slug,1.0,MacArthur,75039,6430 North MacArthur Boulevard,,"6430 North MacArthur Boulevard, Irving, TX 75039",Irving,TX
la Madeleine,4.1,1896,6430 N MacArthur Blvd,Irving,TX,75039,"6430 N MacArthur Blvd, Irving, TX 75039",(469) 385-1700,https://lamadeleine.com/locations/irving-macarthur,1.01614E+20,3.0,,2025-02-17T18:37:41.106Z,2025-02-17 18:37:41.106000+00:00,https://lamadeleine.com/locations/irving-macarthur,la Madeleine,6430nmacarthurblvdirvingtx75039,4693851700,irving-macarthur,True,114,website_slug,1.0,MacArthur,75039,6430 North MacArthur Boulevard,,"6430 North MacArthur Boulevard, Irving, TX 75039",Irving,TX
